stop_id,stop_name,stop_lat,stop_lon
"0011827","Leipzig, Großmiltitzer Str.","51.320299","12.261409"
"0011830","Markranstädt, Härtelstr.","51.304542","12.220341"
"0011831","Leipzig, Pahlenweg","51.292507","12.428003"
"0011894","Dölzig (Schkeuditz), Gewerbegebiet","51.352536","12.206017"
"0011896","Dölzig, Frankenheimer Str.","51.351904","12.220850"
"0011897","Dölzig (Schkeuditz), Feldstr.","51.354008","12.213027"
"0011900","Leipzig, Pleißenburgwerkstätten","51.370901","12.430399"
"0011901","Leipzig, Telemannstr.","51.327400","12.367500"
"0011902","Leipzig, Seelenbinderstr.","51.366600","12.350110"
"0011903","Leipzig, Südvorstadt, Lößniger Str.","51.320603","12.381811"
"0011905","Leipzig, Congress Center","51.396928","12.399403"
"0011906","Leipzig, Robert-Schumann-Str. (Ferdinand-Rhode-Str.)","51.329635","12.366688"
"0011907","Leipzig, Braun-/Heiterblickstr.","51.369000","12.430803"
"0011908","Leipzig, Lidicestr.","51.377506","12.430204"
"0011911","Markkleeberg, Ost, Schillerplatz","51.275699","12.397877"
"0011914","Wachau (b. Leipzig), An der Hohle","51.277588","12.432052"
"0011915","Wachau (b. Leipzig), Am Bach","51.275777","12.427860"
"0011916","Leipzig, Schwarzenbergweg","51.286903","12.429607"
"0011917","Wachau (b. Leipzig), Gewerbepark$Wachau (b. Leipzig), Gewerbegebiet","51.284229","12.425450"
"0011918","Markkleeberg, Schulstr.","51.279748","12.372340"
"0011929","Leipzig, Handwerkerhof","51.326403","12.436101"
"0011950","Leipzig, S-Bahnhof Anger-Crottendorf","51.333400","12.418582"
"0011952","Leipzig, Ostfriedhof","51.333100","12.420512"
"0011956","Leipzig, Stötteritz, Holzhäuser Str.","51.318706","12.431206"
"0011958","Leipzig, Martinstr.","51.334225","12.413117"
"0011960","Leipzig, Rathaus Stötteritz","51.319301","12.420101"
"0011962","Leipzig, Kolmstr.","51.320106","12.426704"
"0011964","Leipzig, Breslauer Str.","51.324200","12.414610"
"0011968","Leipzig, Weißestr.","51.322006","12.418910"
"0011970","Leipzig, Gutenbergplatz","51.334458","12.391803"
"0011972","Leipzig, Ostplatz","51.331686","12.395905"
"0012013","Leipzig, Baalsdorf, Zaucheweg","51.320803","12.493701"
"0012015","Leipzig, Hirschfeld","51.324179","12.525359"
"0012016","Leipzig, Kleinpösna","51.309506","12.518107"
"0012017","Leipzig, Althen, Oertgering","51.346703","12.519408"
"0012018","Leipzig, Althener Anger","51.338799","12.517911"
"0012020","Leipzig, Althen, Freundschaftsring","51.339908","12.522605"
"0012021","Zweenfurth (Borsdorf), Hirschfelder Str.","51.335443","12.548948"
"0012022","Leipzig, Holzhausen, Walter-Heise-Str.","51.302600","12.464502"
"0012023","Leipzig, Feldstr.","51.303204","12.441610"
"0012025","Leipzig, Schweizer Bogen","51.302107","12.437612"
"0012026","Leipzig, Virchow-/Coppistr.","51.366908","12.376003"
"0012027","Leipzig, An den Pferdnerkabeln","51.380106","12.436304"
"0012028","Leipzig, Mathiesenstr.","51.352101","12.322500"
"0012030","Markkleeberg, Energiestr.","51.285164","12.367231"
"0012031","Leipzig, Engelsdorf, Arnoldplatz","51.348202","12.494006"
"0012032","Leipzig, Hans-Weigel-Str.","51.342804","12.479611"
"0012033","Leipzig, Hugo-Aurig-Str.","51.343105","12.486712"
"0012034","Leipzig, Lausen, Regenbogen","51.300804","12.266308"
"0012036","Leipzig, Strümpellstr.","51.305605","12.436411"
"0012037","Markkleeberg, Sonnesiedlung","51.283718","12.364071"
"0012038","Leipzig, Herzzentrum","51.306505","12.438802"
"0012040","Leipzig, Klempererstr.","51.340304","12.489299"
"0012041","Leipzig, Engelsdorf, Kirchweg","51.336799","12.487410"
"0012042","Borsdorf (Sachsen), Panitzscher Str.","51.349248","12.545895"
"0012043","Panitzsch, Kindergarten","51.360716","12.540749"
"0012044","Borsdorf (Sachsen), Str. n. Althen","51.349356","12.521779"
"0012045","Borsdorf (Sachsen), Leipziger Str.$Borsdorf (Sachsen), Gemeindeamt","51.347983","12.538690"
"0012046","Leipzig, Sabinenstr.","51.346904","12.492902"
"0012047","Panitzsch, B6/Dreiecksiedlung","51.350238","12.512485"
"0012048","Panitzsch, Dreiecksiedlung","51.352030","12.512708"
"0012049","Leipzig, Engelsdorf, Sternenstr.","51.346406","12.487911"
"0012051","Panitzsch, Sehliser Str.","51.365176","12.542832"
"0012072","Leipzig, Prager/Russenstr.","51.307805","12.422100"
"0012073","Leipzig, Probstheida","51.303806","12.426306"
"0012075","Leipzig, Probstheida, Buswendestelle","51.304121","12.424149"
"0012076","Leipzig, Völkerschlachtdenkmal","51.314604","12.411903"
"0012078","Leipzig, Südfriedhof","51.312104","12.416208"
"0012079","Leipzig, Altes Messegelände$Deutsche Bundesbank","51.321055","12.404346"
"0012080","Leipzig, Naunhofer Str.","51.318077","12.407798"
"0012083","Leipzig, Witzgallstr.","51.328253","12.399555"
"0012086","Leipzig, Franzosenallee","51.300800","12.430701"
"0012088","Leipzig, Roseggerstr.","51.297500","12.435604"
"0012135","Leipzig, Höltystr.","51.295318","12.432415"
"0012145","Leipzig, Markt","51.340002","12.374512"
"0012146","Leipzig, Lindenthal, Zur Lindenhöhe","51.391502","12.335504"
